,id,longitude,latitude,accuracy,time
205,341,-4.2880869,55.8710093,14.069,13:08:59
206,342,-4.288315,55.8709837,12.841,13:09:10
207,343,-4.2884476,55.8709815,9.895,13:09:14
208,344,-4.2886015,55.8710041,10.87,13:09:25
209,345,-4.2885699,55.8710012,13.395,13:09:36
210,346,-4.2891116,55.8710642,8.758,13:09:47
211,347,-4.289202,55.8710852,16.332,13:09:49
212,348,-4.289326,55.8710966,18.598,13:09:59
213,349,-4.2894982,55.8710897,47.057,13:10:03
214,350,-4.2896363,55.8711316,8.577,13:10:14
215,351,-4.2896425,55.8711362,8.654,13:10:15
216,352,-4.289738,55.8711173,39.407,13:10:18
217,353,-4.2899618,55.8711865,42.457,13:10:29
218,354,-4.2900792,55.871205,48.779,13:10:33
219,355,-4.2900882,55.8711518,7.495,13:10:44
220,356,-4.2900569,55.871117,42.514,13:10:48
221,357,-4.2899531,55.8711481,52.989,13:11:00
222,358,-4.2898144,55.8713326,17.982,13:11:06
223,359,-4.2898727,55.8713996,18.689,13:11:18
224,360,-4.2899513,55.8714504,23.319,13:11:24
225,361,-4.2898074,55.8716272,10.674,13:11:35
226,362,-4.2897891,55.8717092,45.822,13:11:39
227,363,-4.2897904,55.8717696,4.68,13:11:50
228,364,-4.2897305,55.8717984,39.222,13:11:54
229,365,-4.2897296,55.8719511,5.13,13:12:05
230,366,-4.2896852,55.8720082,39.442,13:12:09
231,367,-4.2894899,55.8720116,6.727,13:12:20
232,368,-4.2896524,55.8718986,6.354,13:12:21
233,369,-4.2897646,55.8718529,4.126,13:12:24
234,370,-4.2893057,55.8720079,6.967,13:12:35
235,371,-4.2891415,55.8720527,8.569,13:12:39
236,372,-4.2890112,55.8720572,48.349,13:12:51
237,373,-4.2888401,55.8720413,17.478,13:12:57
238,374,-4.2886552,55.8720452,18.441,13:13:09
239,375,-4.2887918,55.8720485,20.44,13:13:16
240,376,-4.2885673,55.8719116,29.675,13:13:28
241,377,-4.2882983,55.8717697,20.695,13:13:34
242,378,-4.2880591,55.8717579,19.255,13:13:46
243,379,-4.2880353,55.8717498,68.8,13:13:52
244,380,-4.2880535,55.8716653,52.4,13:14:04
245,381,-4.2880305,55.8716692,44.537,13:14:10
246,382,-4.2878143,55.8713478,24.94,13:14:22
247,383,-4.2878637,55.8713912,21.707,13:14:28
248,384,-4.287804,55.8714344,20.009,13:14:40
249,385,-4.2877465,55.8714226,25.142,13:14:46
250,386,-4.2875541,55.8714357,9.69,13:14:57
251,387,-4.2874977,55.8714153,44.031,13:15:01
252,388,-4.2875713,55.8712921,49.986,13:15:13
253,389,-4.2876384,55.8711459,19.32,13:15:19
254,390,-4.2876628,55.8710895,17.254,13:15:31
255,391,-4.2877409,55.8711337,21.296,13:15:37
256,392,-4.2880426,55.8712088,25.509,13:15:49
257,393,-4.2881153,55.8711322,21.899,13:15:55
258,394,-4.2877454,55.8713521,9.98,13:16:06
259,395,-4.2876979,55.8713959,44.811,13:16:10
260,396,-4.2876043,55.8713506,10.509,13:16:21
261,397,-4.2875568,55.8713453,45.401,13:16:25
262,398,-4.2875389,55.8713636,62.569,13:16:37
263,399,-4.2879655,55.8715051,64.5,13:16:43
264,400,-4.2884719,55.8715202,20.708,13:16:55
265,401,-4.2887773,55.8715232,31.776,13:17:01
266,402,-4.2890035,55.8714403,23.803,13:17:13
267,403,-4.2884006,55.8712926,33.209,13:17:19
268,404,-4.2882659,55.8713103,35.634,13:17:31
269,405,-4.2882459,55.8714895,48.549,13:17:37
270,406,-4.2877776,55.8713951,33.721,13:17:49
271,407,-4.2880474,55.8713861,32.865,13:17:55
272,408,-4.2882991,55.8713959,27.43,13:18:07
273,409,-4.2884213,55.8712793,24.622,13:18:13
274,410,-4.2885593,55.871239,15.377,13:18:25
275,411,-4.2882506,55.8713212,33.415,13:18:31
276,412,-4.2884482,55.871236,9.365,13:18:42
277,413,-4.2884622,55.8712334,43.945,13:18:46
278,414,-4.288903,55.8712763,41.875,13:18:58
279,415,-4.2891275,55.8714126,29.749,13:19:04
280,416,-4.2894401,55.8713991,22.165,13:19:16
281,417,-4.2894602,55.8713009,21.085,13:19:22
282,418,-4.2892847,55.8714034,10.686,13:19:33
283,419,-4.2892452,55.8714154,45.147,13:19:37
284,420,-4.2892216,55.8714314,21.227,13:19:49
285,421,-4.2889602,55.8716794,21.33,13:19:55
286,422,-4.2889507,55.8717428,22.776,13:20:07
287,423,-4.2890536,55.8717028,20.866,13:20:13
288,424,-4.2891344,55.8716902,24.111,13:20:25
289,425,-4.2891446,55.8716924,22.595,13:20:25
290,426,-4.2891671,55.8716943,22.437,13:20:31
291,427,-4.2891206,55.871673,8.227,13:20:42
292,428,-4.2891149,55.8716691,12.27,13:20:46
293,429,-4.2890072,55.8716709,17.338,13:20:58
294,430,-4.2889422,55.8715398,49.638,13:21:04
295,431,-4.2890201,55.8716079,9.93,13:21:15
296,432,-4.2890248,55.8716119,13.906,13:21:19
